idProvincia;nomProvincia;cantidadTuristas
1;AZUAY;42.658
2;BOLÍVAR;22.333
3;CAÑAR;1.771
4;CARCHI;9.083
5;COTOPAXI;21.879
6;CHIMBORAZO;28.486
7;EL ORO;24.091
8;ESMERALDAS;35.316
9;GUAYAS;86.774
10;IMBABURA;86.774
11;LOJA ;24.327
12;LOS RÍOS;3.82
13;MANABÍ;140.688
14;MORONA SANTIAGO;10.953
15;NAPO;54.456
16;PASTAZA;31.113
17;PICHINCHA;151.78
18;TUNGURAHUA;94.565
19;ZAMORA CHINCHIPE;8.777
20;GALÁPAGOS;9.767
21;SUCUMBÍOS;11.789
22;ORELLANA;10.358
23;SANTO DOMINGO DE LOS TSACHILAS;11.789
24;SANTA ELENA;258.066
25;ZONAS NO DELIMITADAS;6.455
