idSitiosTuristicos;nomSitio;idProvincia
1;PARQUE NACIONAL CAJAS LLAVIUCU;1
2;CATEDRAL DE LA INMACULADA CONCEPCIÓN;1
3;PLAZA DE FLORES;1
4;MUSEO PUMAPUNGO;1
5;ARTESANIAS EN PAJA TOQUILLA CHORDELEG;1
6;ORFEBRERÍA EN CHORDELEG;1
7;CASCADA DE PALUZ;4
8;CEMENTERIO MUNICIPAL JOSÉ MARÍA AZAEL FRANCO;4
9;GRUTA DE LA PAZ;4
10;IGLESIA DE LA VIRGEN DE LA CARIDAD;4
11;LAGUNA LA ENCAÑADA;4
12;"MUSEO ARQUEOLÓGICO, DE ARTE MODERNO Y CONTEMPORÁNEO ""GERMAN BASTIDAS VACA""";4
13;SANTUARIO DE LA VIRGEN DE LA PURIFICACION;4
14;COLUMNAS DE TANGAN;5
15;HACIENDA SAN AGUSTÍN DEL CALLO;5
16;CASCADA YAGUARCOCHA (PALLATANGA);6
17;NARIZ DEL DIABLO - ESTACIÓN DE SIBAMBE;6
18;LAGUNA MAGDALENA DE ATILLO;6
19;CASCADA CHILICAY;6
20;CERRO SAGRADO EL PUÑAY;6
21;LAGUNA DE COLTA;6
22;MUSEO DE LA CIUDAD;6
23;NEVADO EL ALTAR;6
24;AGUAS TERMALES AGUALLANCHI;6
25;CAFÉ ZARUMA;7
26;FIESTA DE SEMANA SANTA EN EL CERRO EL CALVARIO;7
27;SITIO ARQUEOLÓGICO CERRO CHIVATURCO;7
28;FIESTAS DE LA VIRGEN DEL CARMEN;7
29;IGLESIA DE ABAÑIN;7
30;IGLESIA DE ARCAPAMBA;7
31;IGLESIA DE GÜIZHAGÜIÑA;7
32;IGLESIA HUERTAS;7
33;IGLESIA DE MALVAS;7
34;IGLESIA DE MULUNCAY;7
35;IGLESIA DE SALVIAS;7
36;IGLESIA DE SINSAO;7
37;MINA EL SEXMO;7
38;MUSEO MUNICIPAL DE ZARUMA;7
39;EL TIGRILLO;7
40;ENCAÑONADO EL MURCIELAGO;8
41;MUSEO Y CENTRO CULTURAL ESMERALDAS;8
42;MUSEO ARQUEOLÓGICO CARLOS MERCADO ORTIZ;8
43;MONUMENTO A LOS MARIMBEROS;8
44;ENCOCAO EN PLAYA LAS PALMAS;8
45;PLAYA LAS PALMAS;8
46;PUERTO PESQUERO ARTESANAL DE ESMERALDAS;8
47;MARIMBA EN CONSERVATORIO MUNICIPAL;8
48;CASCADA EL COLORADO;8
49;COCADAS DE DON CHILA;8
50;EL GARSERO;8
51;ESTERO RÍO MOMPICHE;8
52;ISLA JUPITER;8
53;LAS MANCHAS (ISLA BONITA);8
54;PLAYA DE BUNCHE;8
55;PLAYA DE MUISNE;8
56;PLAYA PORTETE;8
57;REFUGIO DE VIDA SILVESTRE LA CHIQUITA;8
58;"COCADAS DE LA COMUNIDAD ""EL CAPRICHO""(ORCOPAC)";8
59;BOSQUE PROTECTOR 7 CASCADAS;8
60;BOSQUE ECOLOGICO EL TIGRE;8
61;BALNEARIO DE AGUA DULCE RIO TULULBI;8
62;BALNEARIO CHUCHUVI;8
63;CAVERNAS EL COLORADO;8
64;REFUGIO DE VIDA SILVESTRE RIO MUISNE;8
65;TUNEL ECOLOGICO SAN LORENZO;8
66;ÁREA NACIONAL DE RECREACIÓN ISLA SANTAY E ISLA GALLO;9
67;LAGUNA DE CUICOCHA;10
68;PLAZA DE PONCHOS;10
69;ARTESANÍAS EN CUERO;10
70;ARTESANIAS TALLADAS EN MADERA;10
71;CENTRO CULTURAL DANIEL REYES;10
72;HELADOS DE PAILA DE IBARRA;10
73;MUSEO DE LAS CULTURAS;10
74;MONUMENTO EL ARCANGEL SAN MIGUEL;10
75;PAILA TOLA;10
76;MUSEO DE IBARRA;10
77;ALTAR PATRIO;11
78;BALNEARIO LA LAJILLA;11
79;CENTRO RECREACIONAL CRUZ DEL PANADERO;11
80;CRIPTA MARIA AUXILIADORA;11
81;IGLESIA MATRIZ;11
82;PUENTE INTERNACIONAL ECU-PER;11
83;RESERVA JORUPE;11
84;RESERVA LAIPUNA;11
85;CASCADA VIRGEN DE AGUA SANTA;11
86;RAYMIS;11
87;NAVIDAD;11
88;PUEBLO SARAGURO;11
89;CERRO DE ARCOS;11
90;FALLA DE SHIRICULAPO;11
91;SANTUARIO DE LA VIRGEN DE EL CISNE;11
92;PISCINAS NATURALES DE PINDAL;11
93;FLORECIMIENTO DE LOS GUAYACANES-ZAPOTILLO;11
94;CENTRAL EÓLICA VILLONACO;11
95;CASA DE JOSÉ JOAQUÍN DE OLMEDO;12
96;REFUGIO DE VIDA SILVESTRE MARINO COSTERA PACOCHE;13
97;CASA ROSADA;13
98;PARQUE CENTRAL DE MANTA;13
99;PLAYA PIEDRA LARGA;13
100;PLAYA SAN MATEO;13
101;MUSEO PACOCHA;13
102;PLAYA CRUCITA;13
103;EL ASTILLERO DE LOS ESTEROS;13
104;CASCADA CHAPULÍ;13
105;ARTESANIAS EN BARRO;13
106;ASOCIACIÓN ARTESANAL LA PEPA DE ORO;13
107;BALNEARIO PLATANALES;13
108;BOSQUE PROTECTOR PRIMERA PIEDRA;13
109;CASCADA JULIÁN;13
110;CORPORACIÓN FORTALEZA DEL VALLE;13
111;FESTIVAL DE LA REGATA ALDO CANO PATIÑO;13
112;FESTIVAL EL BALSEROS DEL CARRIZAL;13
